;X;Y;Count
121;1999.5261902906;0.239526477376589;11
122;1999.5261902906;0.256394155638944;3
123;1999.5261902906;0.274449671559492;8
124;1999.5261902906;0.293776673775603;6
125;1999.5261902906;0.314464701539818;1
126;1999.5261902906;0.336609599542479;2
127;1999.5261902906;0.36031396194654;2
128;1999.5261902906;0.385687607691738;2
129;1999.5261902906;0.41284808927012;2
130;1999.5261902906;0.473041743631566;2
131;1999.5261902906;0.54201169154881;1
132;1999.5261902906;0.58018066112417;2
133;1999.5261902906;1.14580097601484;1
134;1999.5261902906;1.72360105568217;1
135;2038.37401555926;0.0573729333644374;1
136;2038.37401555926;0.0657379630458068;8
137;2038.37401555926;0.0703672918048813;3
138;2038.37401555926;0.075322622219113;2
139;2038.37401555926;0.0806269116295542;6
140;2038.37401555926;0.0863047340546569;5
141;2038.37401555926;0.0923823940382055;4
142;2038.37401555926;0.0988880485145271;9
143;2038.37401555926;0.105851837255564;15
144;2038.37401555926;0.113306022504148;15
145;2038.37401555926;0.121285138440389;13
146;2038.37401555926;0.129826151173613;14
147;2038.37401555926;0.138968630001093;5
148;2038.37401555926;0.148754930726976;4
149;2038.37401555926;0.159230391890697;6
150;2038.37401555926;0.170443544813989;4
151;2038.37401555926;0.182446338439587;3
152;2038.37401555926;0.195294380003298;8
153;2038.37401555926;0.209047192654413;18
154;2038.37401555926;0.223768491217992;10
155;2038.37401555926;0.239526477376589;6
156;2038.37401555926;0.256394155638944;12
157;2038.37401555926;0.274449671559492;13
158;2038.37401555926;0.293776673775603;5
159;2038.37401555926;0.314464701539818;4
160;2038.37401555926;0.336609599542479;3
161;2038.37401555926;0.36031396194654;3
162;2038.37401555926;0.385687607691738;2
163;2038.37401555926;0.41284808927012;2
164;2038.37401555926;0.441921237330022;1
165;2038.37401555926;0.473041743631566;1
166;2038.37401555926;0.506353785054426;1
167;2038.37401555926;0.54201169154881;1
168;2077.97659639723;0.0535984784493197;1
169;2077.97659639723;0.0573729333644374;1
170;2077.97659639723;0.0614131889201409;2
171;2077.97659639723;0.0657379630458068;2
172;2077.97659639723;0.0703672918048813;1
173;2077.97659639723;0.0806269116295542;1
174;2077.97659639723;0.0863047340546569;4
175;2077.97659639723;0.0923823940382055;3
176;2077.97659639723;0.0988880485145271;7
177;2077.97659639723;0.105851837255564;7
178;2077.97659639723;0.113306022504148;9
179;2077.97659639723;0.121285138440389;7
180;2077.97659639723;0.129826151173613;3
181;2077.97659639723;0.138968630001093;2
182;2077.97659639723;0.148754930726976;6
183;2077.97659639723;0.159230391890697;2
184;2077.97659639723;0.170443544813989;5
185;2077.97659639723;0.182446338439587;8
186;2077.97659639723;0.195294380003298;7
187;2077.97659639723;0.209047192654413;18
188;2077.97659639723;0.223768491217992;5
189;2077.97659639723;0.239526477376589;3
190;2077.97659639723;0.256394155638944;5
191;2077.97659639723;0.274449671559492;7
192;2077.97659639723;0.293776673775603;1
193;2077.97659639723;0.314464701539818;1
194;2077.97659639723;0.336609599542479;1
195;2077.97659639723;0.36031396194654;1
196;2077.97659639723;0.385687607691738;1
197;2077.97659639723;0.41284808927012;2
198;2077.97659639723;0.441921237330022;1
199;2077.97659639723;0.473041743631566;1
200;2077.97659639723;0.711585402502346;1
201;2077.97659639723;0.934211923745609;1
202;2077.97659639723;1.31285987663656;1
203;2118.34859658468;0.0573729333644374;3
204;2118.34859658468;0.0614131889201409;2
205;2118.34859658468;0.0657379630458068;4
206;2118.34859658468;0.0703672918048813;2
